subset_id,training_budget_nominal_events,method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
seed20260910_n5000,5000,Attentive CNP,m1,1,104,SE,SE,supported,1356,657,-28.4731482603952,-0.0006201519657633714,28.472528108429433
seed20260910_n5000,5000,Attentive CNP,m1,1,104,FE,FE,supported,8522,202,-2.4836125950074477,-0.36695661575718574,2.116655979250262
seed20260910_n5000,5000,Attentive CNP,m1,1,105,DEP,DEP,supported,828,464,21.01865733799767,-0.00975972164112271,21.028417059638794
seed20260910_n5000,5000,Attentive CNP,m1,1,105,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,0.0037703503346531164,25.550928683473007
seed20260910_n5000,5000,Attentive CNP,m1,1,105,SE,SE,supported,1356,657,-28.4731482603952,0.0013830473386156061,28.474531307733812
seed20260910_n5000,5000,Attentive CNP,m1,1,105,FE,FE,supported,8522,202,-2.4836125950074477,-0.362153333415971,2.1214592615914767
seed20260910_n5000,5000,Attentive CNP,m1,1,106,DEP,DEP,supported,828,464,21.01865733799767,-0.01016045612654004,21.028817794124212
seed20260910_n5000,5000,Attentive CNP,m1,1,106,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,0.005101989968292475,25.552260323106644
seed20260910_n5000,5000,Attentive CNP,m1,1,106,SE,SE,supported,1356,657,-28.4731482603952,0.0002445340408663288,28.473392794436066
seed20260910_n5000,5000,Attentive CNP,m1,1,106,FE,FE,supported,8522,202,-2.4836125950074477,-0.36664789170843815,2.1169647032990095
seed20260910_n5000,5000,Attentive CNP,m1,1,107,DEP,DEP,supported,828,464,21.01865733799767,-0.009652069634979998,21.02830940763265
seed20260910_n5000,5000,Attentive CNP,m1,1,107,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,0.004139479798770385,25.551297812937122
seed20260910_n5000,5000,Attentive CNP,m1,1,107,SE,SE,supported,1356,657,-28.4731482603952,2.6163294880587884e-05,28.47317442369008
