method,architecture_id,training_budget,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,18866,2,106,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.2624352120373565,6.14292225612865
CNP,m0,18866,2,106,500,SE,Tl-208 SE 2103 keV,6,0,2023,12.985320019008462,16.938546064446275
CNP,m0,18866,2,106,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,3.942603729380656,4.783123307563391
CNP,m0,18866,2,106,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.454014309734104,4.133092012568596
CNP,m0,18866,2,106,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.631477221680985,9.436473615205031
CNP,m0,18866,2,107,500,full,Full 500-3000 keV,442,58,114299,5.04628512312247,6.930330353271222
CNP,m0,18866,2,107,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.49250270006516,10.067445712331397
CNP,m0,18866,2,107,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.026954322163244,13.5663561463663
CNP,m0,18866,2,107,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.239332964550203,6.117479689899102
CNP,m0,18866,2,107,500,SE,Tl-208 SE 2103 keV,6,0,2023,12.972006467237197,16.928337959544315
CNP,m0,18866,2,107,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,3.948954382663864,4.791630305861516
CNP,m0,18866,2,107,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.407094043630901,4.0701698877027965
CNP,m0,18866,2,107,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.742119880769081,9.542841117098618
CNP,m0,18866,2,108,500,full,Full 500-3000 keV,442,58,114299,5.210087473621583,7.130556495380031
CNP,m0,18866,2,108,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.492337278833061,9.944343638140271
CNP,m0,18866,2,108,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.17177274379171,13.783634907665638
CNP,m0,18866,2,108,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.487337033726783,6.3986644314049546
