subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,region,threshold_k,coverage_percent_mean,mean_context_sd_within_seed_pp,initialization_sd_across_seed_means_pp,cell_count
original_n10000,original,10k,10000,9980,Attentive CNP,m1,feature_1620_pm5,1,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,feature_1620_pm5,2,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,feature_1620_pm5,3,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,overall_500_3000,1,24.8868778280543,1.5878647989298997,1.294940092421194,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,overall_500_3000,2,46.613876319758674,2.79974887863129,2.4759374463150357,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,overall_500_3000,3,65.27149321266968,2.568884951659541,1.359726624553551,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,FE_2614_pm5,1,25.0,18.27642631777228,21.79449471770337,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,FE_2614_pm5,2,58.333333333333336,28.084012099082177,37.859388972001824,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,FE_2614_pm5,3,75.0,26.352313834736496,25.0,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,SE_2103_pm5,1,50.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,SE_2103_pm5,2,73.33333333333333,15.63391334750177,20.81665999466133,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,SE_2103_pm5,3,96.66666666666667,7.027283689263065,5.773502691896257,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,DEP_1592_pm5,1,13.333333333333334,16.834869470572965,12.583057392117917,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,DEP_1592_pm5,2,45.0,8.050764858994134,8.660254037844387,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,DEP_1592_pm5,3,50.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,feature_1620_pm5,1,16.666666666666668,10.540925533894598,24.664414311581236,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,feature_1620_pm5,2,26.666666666666668,14.05456737852613,22.546248764114473,30
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,feature_1620_pm5,3,61.666666666666664,8.050764858994134,20.207259421636902,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,overall_500_3000,1,47.60935143288085,1.0404966060029956,1.069906926770408,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,overall_500_3000,2,80.79939668174963,0.7825365638390389,2.153762181969576,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,overall_500_3000,3,94.04977375565609,0.5771035068962062,0.8053154629211667,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,FE_2614_pm5,1,8.333333333333334,13.877092425186001,10.408329997330663,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,FE_2614_pm5,2,18.333333333333332,22.83867199010496,18.929694486000912,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,FE_2614_pm5,3,35.0,37.05727152391013,10.0,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,SE_2103_pm5,1,13.333333333333334,7.027283689263065,23.09401076758503,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,SE_2103_pm5,2,55.0,16.657394517232834,27.83882181415011,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,SE_2103_pm5,3,100.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,DEP_1592_pm5,1,45.0,12.297746456210364,45.0,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,DEP_1592_pm5,2,81.66666666666667,15.078048548257199,20.207259421636902,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,DEP_1592_pm5,3,96.66666666666667,7.027283689263065,5.773502691896257,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,feature_1620_pm5,1,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,feature_1620_pm5,2,13.333333333333334,7.027283689263065,23.09401076758503,30
original_n10000,original,10k,10000,9980,Density-guided CNP,ours,feature_1620_pm5,3,50.0,17.568209223157663,5.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,overall_500_3000,1,45.80693815987934,0.5183987516830059,3.8343132441634054,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,overall_500_3000,2,76.28205128205128,0.5951701529685886,2.6018427435798714,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,overall_500_3000,3,89.17797888386123,0.2792477940348704,2.081488949691559,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,FE_2614_pm5,1,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,FE_2614_pm5,2,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,FE_2614_pm5,3,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,SE_2103_pm5,1,0.0,0.0,0.0,30
