subset_id,ordering_id,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,training_seed,context_seed,context_size,peak_mae_percentage_points,continuum_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,101,500,14.418953136447598,12.004440324564065,31.45568290068661,0.25471258589830337,0.2354798721986095,1.5792645877227187,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s101-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,102,500,15.284829097837632,13.31418123131062,29.970472524683572,0.2574763413739969,0.23583643674049756,1.1804369380697608,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s102-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,103,500,13.48214199524172,11.511723655749154,33.699216468313395,0.25370635150226234,0.23582835445375086,1.4943314199335873,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s103-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,104,500,13.539375388502952,11.68084992204761,33.71341619707816,0.2545112713521336,0.23560192232805682,1.0807461091317236,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s104-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,105,500,13.636027143029716,11.724514391759326,33.2971025192216,0.25465300178390005,0.23544082810420056,1.378324135672301,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s105-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,106,500,14.621530353614961,12.601724235066397,30.79825195231272,0.25617057379319336,0.23535218980054412,0.5593648636713624,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s106-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,107,500,13.637802421616959,11.619467711683793,32.99111972860951,0.25421432188578585,0.23518355714625164,1.4087099051102996,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s107-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,108,500,13.896056259283718,11.823154199196892,32.194075936463015,0.25446519691902003,0.2349251827054543,0.9185228710994124,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s108-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,109,500,14.624729122959451,12.660678506077833,31.146131713474357,0.2562166410400905,0.23542147778047218,1.3852925971150398,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s109-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,100,500,11.363188429815816,12.010244625568347,35.544287391914764,0.25223926817400305,0.23303128120821634,1.173385864123702,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s100-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,101,500,10.603491859234577,11.793380524827167,37.10950800415819,0.25219692724902004,0.23397993833398928,1.313876143656671,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s101-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,102,500,11.44192520972137,12.273756970812808,35.16466592099744,0.2524295755753271,0.2328207838200759,1.0089544709771872,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s102-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,103,500,9.987280328316166,11.222871404422499,39.284503416333244,0.25172525594934214,0.23583047327459505,1.5186654943972826,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s103-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,104,500,10.201307347513207,11.518494662049983,38.27638232293724,0.2517635702890767,0.2348297785615762,1.590654807165265,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s104-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,105,500,10.157124788102777,11.369257854299562,38.60126128653334,0.25159483404222605,0.2350520309965054,1.3641880908980966,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s105-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,106,500,10.392995960377652,11.802665923229371,36.89303685413586,0.2521696455935766,0.2340543569649154,0.547475318890065,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s106-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,107,500,10.112414995124636,11.322056361688155,38.577045379502174,0.251670469501215,0.23507645874919023,1.1721070623025298,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s107-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,108,500,10.079304415126437,11.415778486150499,38.98690198213135,0.2519326875308474,0.23555839955495084,0.9317903532646596,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s108-n500-drop10100-mc50
