method,architecture_id,training_budget,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
Attentive CNP + PE,m2,2000,2,109,500,phase2_new_evaluation,11.968390111776836,16.599165242275824,38.406650070306846,0.2856384149528682,0.27909064038317527,0.3324740892276168,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s109-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,100,500,phase2_new_evaluation,9.089568341632868,13.172350981819363,11.157389296486581,0.24477271580084356,0.20673075294565263,1.584417193196714,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s100-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,101,500,phase2_new_evaluation,9.631752811556403,14.045588438030682,6.507778701212104,0.24547420580349433,0.2084013634257586,1.585995860863477,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s101-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,102,500,phase2_new_evaluation,9.305585405011435,13.389870737904413,6.085278059947947,0.24479508698305122,0.20625179908483113,1.5999073428101838,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s102-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,103,500,phase2_new_evaluation,8.981365105889855,13.560864710881226,15.352579667996743,0.24434529691843812,0.20865290742301498,1.5820272900164127,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s103-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,104,500,phase2_new_evaluation,9.355728325897783,13.88086031283401,6.541111705399529,0.24499128618298893,0.20740080908754446,1.5856947819702327,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s104-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,105,500,phase2_new_evaluation,8.902677231807028,13.622680688191863,28.628146566258334,0.24440302833242636,0.2250327970367647,1.581217564176768,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s105-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,106,500,phase2_new_evaluation,9.070382314857449,13.685969165832724,6.525839061339818,0.2444244160829888,0.20561591102764648,1.5858073960989714,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s106-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,107,500,phase2_new_evaluation,9.20736129903165,13.91448649069536,20.33121573802187,0.24473723337890224,0.21358470067894134,1.5834511150605977,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s107-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,108,500,phase2_new_evaluation,9.381019464145462,13.785007622649376,6.77200842695787,0.24492178472768106,0.2070289397814382,1.5859666387550533,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s108-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,0,109,500,phase2_new_evaluation,9.048052560133135,13.513876943879813,10.392829499728991,0.24474808661425654,0.20621263184246424,1.5844757710583508,3922.55908203125,20260909-phase2-b2000-ours-seed0-final-ctx-s109-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,100,500,phase2_new_evaluation,11.293593720894457,12.962279280830396,12.485098802747883,0.24822111834059135,0.20987591546421075,1.585718589834869,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s100-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,101,500,phase2_new_evaluation,11.833963490750504,13.369918427248455,5.100649558358727,0.24787763118156106,0.20888767805077754,1.5840385109186172,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s101-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,102,500,phase2_new_evaluation,11.49069235078011,13.165357962937474,4.353140177989731,0.2477015463547576,0.20790298498802148,1.581445600837469,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s102-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,103,500,phase2_new_evaluation,11.02943685177912,13.393487581915231,4.869325465653264,0.24752597386556086,0.207669049892132,1.5777648170478642,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s103-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,104,500,phase2_new_evaluation,10.933727429350917,13.368059379610358,4.662158458595403,0.24720952603347557,0.2079050900562002,1.577637315262109,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s104-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,105,500,phase2_new_evaluation,10.387124673840884,13.415923860157902,26.922681897687976,0.24718740204799158,0.21810748073258196,1.5701847923919559,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s105-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,106,500,phase2_new_evaluation,10.79696053551423,13.431492892595282,6.02229500249394,0.24698760236953218,0.20794065571091994,1.5770826139487326,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s106-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,107,500,phase2_new_evaluation,10.807108648008978,13.363369567672901,5.574701650665605,0.24705848537990158,0.20791334477798024,1.5867051761597395,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s107-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,108,500,phase2_new_evaluation,11.402767482137271,13.340012969120957,5.2928786950346645,0.24752690715846618,0.2086713479250046,1.5833534761331975,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s108-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,1,109,500,phase2_new_evaluation,10.849786614482973,13.397004162304846,5.083652891026909,0.24757595794895831,0.20742919644345928,1.574729859828949,3922.55908203125,20260909-phase2-b2000-ours-seed1-final-ctx-s109-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,100,500,phase2_new_evaluation,6.929447503147257,11.560179694836899,12.040276649855386,0.24095464810485703,0.2014936490824129,1.5845882501453161,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s100-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,101,500,phase2_new_evaluation,9.45822824001822,11.553999780672726,4.472790224673796,0.2414858029826848,0.20324202607618394,1.5883673932403326,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s101-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,102,500,phase2_new_evaluation,8.13580151381691,11.517089987282983,4.2484638704873285,0.240834508830025,0.20097295997092485,1.5856061629019678,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s102-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,103,500,phase2_new_evaluation,7.013222180485918,11.948157820301903,19.339220993452212,0.240933312062846,0.20495798475392904,1.5819099489599466,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s103-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,104,500,phase2_new_evaluation,8.739614515962206,11.605540673240872,4.4737964710910525,0.24088004994496676,0.20236725737819455,1.5833096262067556,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s104-n500-drop10100-mc50
