method,architecture_id,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
CNP,m0,0,100,2000,new_evaluation,7.623706635447723,4.555207581613783,9.370906832165831,0.23312178465062589,0.20596118314194306,0.174337865319103,226.38232421875,20260909-m0-seed0-final-ctx-s100-n2000-drop10100-mc50
CNP,m0,0,101,2000,new_evaluation,7.6502959336975085,4.606476424770781,9.19822302218305,0.23284976993603568,0.205759031731652,0.18065682519227266,226.38232421875,20260909-m0-seed0-final-ctx-s101-n2000-drop10100-mc50
CNP,m0,0,102,2000,new_evaluation,7.631455967205829,4.578088295164188,9.280319957031661,0.2329895401965766,0.20585681092222832,0.18175771180540323,226.38232421875,20260909-m0-seed0-final-ctx-s102-n2000-drop10100-mc50
CNP,m0,0,103,2000,new_evaluation,7.6568486619521705,4.616847439705568,9.173033597034317,0.23281047589264092,0.20572868080243678,0.18109457101672888,226.38232421875,20260909-m0-seed0-final-ctx-s103-n2000-drop10100-mc50
CNP,m0,0,104,2000,new_evaluation,7.633142354958119,4.507113489899081,9.642977484749036,0.23330828881788188,0.20624413365430178,0.18401646427810192,226.38232421875,20260909-m0-seed0-final-ctx-s104-n2000-drop10100-mc50
CNP,m0,0,105,2000,new_evaluation,7.624339855842202,4.539649047576798,9.494286617193676,0.23314845213289054,0.20606740218762415,0.1732432642020285,226.38232421875,20260909-m0-seed0-final-ctx-s105-n2000-drop10100-mc50
CNP,m0,0,106,2000,new_evaluation,7.620531716006257,4.550790874225753,9.44720746477102,0.2330765638773628,0.2060126874456957,0.17430055793374777,226.38232421875,20260909-m0-seed0-final-ctx-s106-n2000-drop10100-mc50
CNP,m0,0,107,2000,new_evaluation,7.668085222936667,4.637828508614581,9.126186078868455,0.23273239285834144,0.20567476920767058,0.17534754378721118,226.38232421875,20260909-m0-seed0-final-ctx-s107-n2000-drop10100-mc50
CNP,m0,0,108,2000,clean_provenance_rerun,7.650267536756057,4.610623388318636,9.200647024054097,0.2328155894977727,0.20575247669643137,0.17268053069710732,226.38232421875,20260909-m0-seed0-final-ctx-s108-n2000-drop10100-mc50-cleanrerun
CNP,m0,0,109,2000,clean_provenance_rerun,7.6440158113405845,4.593850047895797,9.231786743068547,0.2329266412532729,0.20579932995202732,0.17256691493093967,226.38232421875,20260909-m0-seed0-final-ctx-s109-n2000-drop10100-mc50-cleanrerun
CNP,m0,1,100,250,clean_provenance_rerun,8.241367111393973,4.380432413156829,7.596296600566951,0.23144542780133634,0.20549305031535803,0.1810875479131937,226.38232421875,20260909-m0-seed1-final-ctx-s100-n250-drop10100-mc50-cleanrerun
CNP,m0,1,101,250,clean_provenance_rerun,8.331495950194295,4.525720382830492,7.3183627575740235,0.23133102424786456,0.20535204268682658,0.18012746796011925,226.38232421875,20260909-m0-seed1-final-ctx-s101-n250-drop10100-mc50-cleanrerun
CNP,m0,1,102,250,clean_provenance_rerun,8.333780715725206,4.5377719588428,7.318444204360376,0.23131804374345513,0.20536379403266336,0.18167001428082585,226.38232421875,20260909-m0-seed1-final-ctx-s102-n250-drop10100-mc50-cleanrerun
