method,architecture_id,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_seed,mc_passes_per_cell
Attentive CNP + PE,m2,648.0,0.37228029944499336,0.016900562643407325,0.0034903882324706734,3,10,50
Attentive CNP + PE,m2,649.0,0.423239792962869,0.01937341758497125,0.003958521152314445,3,10,50
Attentive CNP + PE,m2,650.0,0.410384801487128,0.01211409205433555,0.004000341396463935,3,10,50
Attentive CNP + PE,m2,651.0,0.3968766904671987,0.023699647658272635,0.004008233484385415,3,10,50
Attentive CNP + PE,m2,652.0,0.3966386978626251,0.02495987773852519,0.004131381387165092,3,10,50
Attentive CNP + PE,m2,653.0,0.4072526214321454,0.017975673472953375,0.003711511764821897,3,10,50
Attentive CNP + PE,m2,654.0,0.40181971774498626,0.021764928779653372,0.003707996754940082,3,10,50
Attentive CNP + PE,m2,655.0,0.37406172322233516,0.010616135747291377,0.0037120034707195057,3,10,50
Attentive CNP + PE,m2,656.0,0.36967733480532966,0.03299225162523885,0.0033719538801095044,3,10,50
Attentive CNP + PE,m2,657.0,0.3832656245728334,0.04345006316934966,0.0034996612974550006,3,10,50
Attentive CNP + PE,m2,658.0,0.4184383821487427,0.05640076929618717,0.003897014638074558,3,10,50
Attentive CNP + PE,m2,659.0,0.4278412799239158,0.052528664541088885,0.0037330627748760905,3,10,50
Attentive CNP + PE,m2,660.0,0.43851532129446663,0.05263961073646335,0.003953332500439496,3,10,50
Attentive CNP + PE,m2,661.0,0.44211461204290387,0.047684607011363865,0.0038130549319919955,3,10,50
Attentive CNP + PE,m2,662.0,0.40432257972160973,0.042987981059479735,0.0036761521997069175,3,10,50
Attentive CNP + PE,m2,663.0,0.3530933430194854,0.010572751458574147,0.003671651932209944,3,10,50
Attentive CNP + PE,m2,664.0,0.3066570593516032,0.012259260673907021,0.003874783048003151,3,10,50
Attentive CNP + PE,m2,665.0,0.303563754906257,0.02117042372777985,0.0037326471189487198,3,10,50
Attentive CNP + PE,m2,666.0,0.30124970808625223,0.02702305125225083,0.003510908526907277,3,10,50
Attentive CNP + PE,m2,667.0,0.2952001968721549,0.03263511521979113,0.003021317498604483,3,10,50
Attentive CNP + PE,m2,668.0,0.31344401586055753,0.016992091820155996,0.003346980073644384,3,10,50
Attentive CNP + PE,m2,669.0,0.32439348330100376,0.01154563080652522,0.003489071098254117,3,10,50
Attentive CNP + PE,m2,670.0,0.3495722571412722,0.009249451383216117,0.003729190145880003,3,10,50
Attentive CNP + PE,m2,671.0,0.3729668242931366,0.013795637463409383,0.003613936846669776,3,10,50
Attentive CNP + PE,m2,672.0,0.37483445514241853,0.015377790025802127,0.003766129684505634,3,10,50
Attentive CNP + PE,m2,673.0,0.35928315810362504,0.005410355070170507,0.003579243173423998,3,10,50
Attentive CNP + PE,m2,674.0,0.321373377819856,0.03308642339722647,0.003405106786273034,3,10,50
Attentive CNP + PE,m2,675.0,0.3175633237163226,0.03593168377323421,0.003385486835257642,3,10,50
Attentive CNP + PE,m2,676.0,0.3530300966699918,0.02050080893952125,0.0032568275392395045,3,10,50
Attentive CNP + PE,m2,677.0,0.41389693663517635,0.023736321930116964,0.0034151392013647905,3,10,50
Attentive CNP + PE,m2,678.0,0.44628776894013084,0.03601428350328807,0.0037926466267055267,3,10,50
Attentive CNP + PE,m2,679.0,0.4436687199870746,0.024524873836435007,0.0037177805967654027,3,10,50
Attentive CNP + PE,m2,680.0,0.41719199373324706,0.0330883527379147,0.004249991182688294,3,10,50
Attentive CNP + PE,m2,681.0,0.388151007493337,0.04231483552019211,0.003615697680176616,3,10,50
Attentive CNP + PE,m2,682.0,0.3734477172692617,0.02706961943810988,0.0034706587839439143,3,10,50
Attentive CNP + PE,m2,683.0,0.35464156695206955,0.011441753836567373,0.0034375700689099815,3,10,50
Attentive CNP + PE,m2,684.0,0.33681155271331464,0.009089351575731458,0.0033465598896730148,3,10,50
Attentive CNP + PE,m2,685.0,0.3416234233677387,0.007940006839427336,0.003528762857897667,3,10,50
Attentive CNP + PE,m2,686.0,0.3671729822854201,0.028118684322529716,0.0038808347372898274,3,10,50
Attentive CNP + PE,m2,687.0,0.3641513821681341,0.015265127939762183,0.0037103221763549812,3,10,50
Attentive CNP + PE,m2,688.0,0.33155019756158194,0.03487153069472993,0.0036690768780845637,3,10,50
Attentive CNP + PE,m2,689.0,0.3211716647942861,0.027411696216184903,0.0035514897674842547,3,10,50
Attentive CNP + PE,m2,690.0,0.36021673532327014,0.034659861489367304,0.004173498309284613,3,10,50
Attentive CNP + PE,m2,691.0,0.3752658281723658,0.02541092330978424,0.003890156752628578,3,10,50
Attentive CNP + PE,m2,692.0,0.3944012521505356,0.014402277548226651,0.003851667698848859,3,10,50
Attentive CNP + PE,m2,693.0,0.36499257415533065,0.023139381506446392,0.003312140512930927,3,10,50
Attentive CNP + PE,m2,694.0,0.2757242360164722,0.01563219622290093,0.0028252866648695346,3,10,50
Attentive CNP + PE,m2,695.0,0.26816756635407607,0.022187794908147363,0.0027838405937345104,3,10,50
