method,architecture_id,training_budget,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
Attentive CNP,m1,18866,0,106,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6126653037320989,1.8709472912753489
Attentive CNP,m1,18866,0,107,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0238373229634047,21.04249466096108
Attentive CNP,m1,18866,0,107,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0175826797419453,25.529575653396407
Attentive CNP,m1,18866,0,107,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0136239204901356,28.48677218088533
Attentive CNP,m1,18866,0,107,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6147165958304446,1.868895999177003
Attentive CNP,m1,18866,0,108,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0220335864527299,21.0406909244504
Attentive CNP,m1,18866,0,108,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0203531104191467,25.526805222719208
Attentive CNP,m1,18866,0,108,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0129916466046764,28.486139906999878
Attentive CNP,m1,18866,0,108,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6105334191230549,1.873079175884393
Attentive CNP,m1,18866,0,109,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0245147245068411,21.04317206250451
Attentive CNP,m1,18866,0,109,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0176807744667439,25.52947755867161
Attentive CNP,m1,18866,0,109,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0129373226838702,28.486085583079067
Attentive CNP,m1,18866,0,109,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6148887646180379,1.8687238303894096
Attentive CNP,m1,18866,1,100,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0076162473171548,21.026273585314826
Attentive CNP,m1,18866,1,100,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0053240626458506,25.552482395784203
Attentive CNP,m1,18866,1,100,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0288528876530635,28.444295372742133
Attentive CNP,m1,18866,1,100,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4163492262585472,2.0672633687489004
Attentive CNP,m1,18866,1,101,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0094438233772087,21.02810116137488
Attentive CNP,m1,18866,1,101,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0053092088332262,25.55246754197158
Attentive CNP,m1,18866,1,101,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0290910160666735,28.444057244328526
Attentive CNP,m1,18866,1,101,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4125512367490674,2.071061358258381
Attentive CNP,m1,18866,1,102,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0082880430812171,21.02694538107889
Attentive CNP,m1,18866,1,102,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0044105443633979,25.55156887750175
Attentive CNP,m1,18866,1,102,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0288116296091489,28.444336630786047
Attentive CNP,m1,18866,1,102,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4137081799479997,2.0699044150594483
Attentive CNP,m1,18866,1,103,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0066735825436037,21.02533092054128
Attentive CNP,m1,18866,1,103,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0067111600227542,25.55386949316111
Attentive CNP,m1,18866,1,103,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.027859195304547,28.44528906509065
Attentive CNP,m1,18866,1,103,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4210154754232281,2.06259711958422
Attentive CNP,m1,18866,1,104,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.006755807005232,21.0254131450029
Attentive CNP,m1,18866,1,104,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0071043151959271,25.55426264833428
Attentive CNP,m1,18866,1,104,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0285201583841598,28.44462810201104
Attentive CNP,m1,18866,1,104,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4172541045599304,2.0663584904475174
Attentive CNP,m1,18866,1,105,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0070861023494739,21.025743440347146
Attentive CNP,m1,18866,1,105,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0050113941415186,25.55216972727987
Attentive CNP,m1,18866,1,105,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.028184624427141,28.444963635968055
Attentive CNP,m1,18866,1,105,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4214442731512474,2.0621683218562
Attentive CNP,m1,18866,1,106,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0078849364695821,21.026542274467253
